| iter:     0/864 | topk:  20 | alpha: 0.100 | beta: 0.000 | MAP: 0.0446 |
| iter:     1/864 | topk:  20 | alpha: 0.100 | beta: 0.050 | MAP: 0.0461 |
| iter:     2/864 | topk:  20 | alpha: 0.100 | beta: 0.100 | MAP: 0.0468 |
| iter:     3/864 | topk:  20 | alpha: 0.100 | beta: 0.150 | MAP: 0.0465 |
| iter:     4/864 | topk:  20 | alpha: 0.100 | beta: 0.200 | MAP: 0.0457 |
| iter:     5/864 | topk:  20 | alpha: 0.100 | beta: 0.250 | MAP: 0.0445 |
| iter:     6/864 | topk:  20 | alpha: 0.100 | beta: 0.300 | MAP: 0.0434 |
| iter:     7/864 | topk:  20 | alpha: 0.100 | beta: 0.350 | MAP: 0.0412 |
| iter:     8/864 | topk:  20 | alpha: 0.200 | beta: 0.000 | MAP: 0.0467 |
| iter:     9/864 | topk:  20 | alpha: 0.200 | beta: 0.050 | MAP: 0.0469 |
| iter:    10/864 | topk:  20 | alpha: 0.200 | beta: 0.100 | MAP: 0.0471 |
| iter:    11/864 | topk:  20 | alpha: 0.200 | beta: 0.150 | MAP: 0.0471 |
| iter:    12/864 | topk:  20 | alpha: 0.200 | beta: 0.200 | MAP: 0.0466 |
| iter:    13/864 | topk:  20 | alpha: 0.200 | beta: 0.250 | MAP: 0.0461 |
| iter:    14/864 | topk:  20 | alpha: 0.200 | beta: 0.300 | MAP: 0.0440 |
| iter:    15/864 | topk:  20 | alpha: 0.200 | beta: 0.350 | MAP: 0.0419 |
| iter:    16/864 | topk:  20 | alpha: 0.300 | beta: 0.000 | MAP: 0.0474 |
| iter:    17/864 | topk:  20 | alpha: 0.300 | beta: 0.050 | MAP: 0.0477 |
| iter:    18/864 | topk:  20 | alpha: 0.300 | beta: 0.100 | MAP: 0.0467 |
| iter:    19/864 | topk:  20 | alpha: 0.300 | beta: 0.150 | MAP: 0.0470 |
| iter:    20/864 | topk:  20 | alpha: 0.300 | beta: 0.200 | MAP: 0.0460 |
| iter:    21/864 | topk:  20 | alpha: 0.300 | beta: 0.250 | MAP: 0.0454 |
| iter:    22/864 | topk:  20 | alpha: 0.300 | beta: 0.300 | MAP: 0.0437 |
| iter:    23/864 | topk:  20 | alpha: 0.300 | beta: 0.350 | MAP: 0.0404 |
| iter:    24/864 | topk:  20 | alpha: 0.400 | beta: 0.000 | MAP: 0.0473 |
| iter:    25/864 | topk:  20 | alpha: 0.400 | beta: 0.050 | MAP: 0.0473 |
| iter:    26/864 | topk:  20 | alpha: 0.400 | beta: 0.100 | MAP: 0.0459 |
| iter:    27/864 | topk:  20 | alpha: 0.400 | beta: 0.150 | MAP: 0.0456 |
| iter:    28/864 | topk:  20 | alpha: 0.400 | beta: 0.200 | MAP: 0.0448 |
| iter:    29/864 | topk:  20 | alpha: 0.400 | beta: 0.250 | MAP: 0.0432 |
| iter:    30/864 | topk:  20 | alpha: 0.400 | beta: 0.300 | MAP: 0.0409 |
| iter:    31/864 | topk:  20 | alpha: 0.400 | beta: 0.350 | MAP: 0.0383 |
| iter:    32/864 | topk:  20 | alpha: 0.500 | beta: 0.000 | MAP: 0.0457 |
| iter:    33/864 | topk:  20 | alpha: 0.500 | beta: 0.050 | MAP: 0.0453 |
| iter:    34/864 | topk:  20 | alpha: 0.500 | beta: 0.100 | MAP: 0.0443 |
| iter:    35/864 | topk:  20 | alpha: 0.500 | beta: 0.150 | MAP: 0.0438 |
| iter:    36/864 | topk:  20 | alpha: 0.500 | beta: 0.200 | MAP: 0.0426 |
| iter:    37/864 | topk:  20 | alpha: 0.500 | beta: 0.250 | MAP: 0.0405 |
| iter:    38/864 | topk:  20 | alpha: 0.500 | beta: 0.300 | MAP: 0.0378 |
| iter:    39/864 | topk:  20 | alpha: 0.500 | beta: 0.350 | MAP: 0.0357 |
| iter:    40/864 | topk:  20 | alpha: 0.600 | beta: 0.000 | MAP: 0.0437 |
| iter:    41/864 | topk:  20 | alpha: 0.600 | beta: 0.050 | MAP: 0.0431 |
| iter:    42/864 | topk:  20 | alpha: 0.600 | beta: 0.100 | MAP: 0.0421 |
| iter:    43/864 | topk:  20 | alpha: 0.600 | beta: 0.150 | MAP: 0.0406 |
| iter:    44/864 | topk:  20 | alpha: 0.600 | beta: 0.200 | MAP: 0.0392 |
| iter:    45/864 | topk:  20 | alpha: 0.600 | beta: 0.250 | MAP: 0.0366 |
| iter:    46/864 | topk:  20 | alpha: 0.600 | beta: 0.300 | MAP: 0.0348 |
| iter:    47/864 | topk:  20 | alpha: 0.600 | beta: 0.350 | MAP: 0.0325 |
| iter:    48/864 | topk:  30 | alpha: 0.100 | beta: 0.000 | MAP: 0.0484 |
| iter:    49/864 | topk:  30 | alpha: 0.100 | beta: 0.050 | MAP: 0.0487 |
| iter:    50/864 | topk:  30 | alpha: 0.100 | beta: 0.100 | MAP: 0.0487 |
| iter:    51/864 | topk:  30 | alpha: 0.100 | beta: 0.150 | MAP: 0.0479 |
| iter:    52/864 | topk:  30 | alpha: 0.100 | beta: 0.200 | MAP: 0.0479 |
| iter:    53/864 | topk:  30 | alpha: 0.100 | beta: 0.250 | MAP: 0.0465 |
| iter:    54/864 | topk:  30 | alpha: 0.100 | beta: 0.300 | MAP: 0.0450 |
| iter:    55/864 | topk:  30 | alpha: 0.100 | beta: 0.350 | MAP: 0.0414 |
| iter:    56/864 | topk:  30 | alpha: 0.200 | beta: 0.000 | MAP: 0.0493 |
| iter:    57/864 | topk:  30 | alpha: 0.200 | beta: 0.050 | MAP: 0.0499 |
| iter:    58/864 | topk:  30 | alpha: 0.200 | beta: 0.100 | MAP: 0.0491 |
| iter:    59/864 | topk:  30 | alpha: 0.200 | beta: 0.150 | MAP: 0.0498 |
| iter:    60/864 | topk:  30 | alpha: 0.200 | beta: 0.200 | MAP: 0.0489 |
| iter:    61/864 | topk:  30 | alpha: 0.200 | beta: 0.250 | MAP: 0.0479 |
| iter:    62/864 | topk:  30 | alpha: 0.200 | beta: 0.300 | MAP: 0.0460 |
| iter:    63/864 | topk:  30 | alpha: 0.200 | beta: 0.350 | MAP: 0.0424 |
| iter:    64/864 | topk:  30 | alpha: 0.300 | beta: 0.000 | MAP: 0.0499 |
| iter:    65/864 | topk:  30 | alpha: 0.300 | beta: 0.050 | MAP: 0.0500 |
| iter:    66/864 | topk:  30 | alpha: 0.300 | beta: 0.100 | MAP: 0.0496 |
| iter:    67/864 | topk:  30 | alpha: 0.300 | beta: 0.150 | MAP: 0.0496 |
| iter:    68/864 | topk:  30 | alpha: 0.300 | beta: 0.200 | MAP: 0.0491 |
| iter:    69/864 | topk:  30 | alpha: 0.300 | beta: 0.250 | MAP: 0.0474 |
| iter:    70/864 | topk:  30 | alpha: 0.300 | beta: 0.300 | MAP: 0.0448 |
| iter:    71/864 | topk:  30 | alpha: 0.300 | beta: 0.350 | MAP: 0.0415 |
| iter:    72/864 | topk:  30 | alpha: 0.400 | beta: 0.000 | MAP: 0.0498 |
| iter:    73/864 | topk:  30 | alpha: 0.400 | beta: 0.050 | MAP: 0.0501 |
| iter:    74/864 | topk:  30 | alpha: 0.400 | beta: 0.100 | MAP: 0.0490 |
| iter:    75/864 | topk:  30 | alpha: 0.400 | beta: 0.150 | MAP: 0.0486 |
| iter:    76/864 | topk:  30 | alpha: 0.400 | beta: 0.200 | MAP: 0.0477 |
| iter:    77/864 | topk:  30 | alpha: 0.400 | beta: 0.250 | MAP: 0.0450 |
| iter:    78/864 | topk:  30 | alpha: 0.400 | beta: 0.300 | MAP: 0.0427 |
| iter:    79/864 | topk:  30 | alpha: 0.400 | beta: 0.350 | MAP: 0.0402 |
| iter:    80/864 | topk:  30 | alpha: 0.500 | beta: 0.000 | MAP: 0.0480 |
| iter:    81/864 | topk:  30 | alpha: 0.500 | beta: 0.050 | MAP: 0.0480 |
| iter:    82/864 | topk:  30 | alpha: 0.500 | beta: 0.100 | MAP: 0.0475 |
| iter:    83/864 | topk:  30 | alpha: 0.500 | beta: 0.150 | MAP: 0.0465 |
| iter:    84/864 | topk:  30 | alpha: 0.500 | beta: 0.200 | MAP: 0.0437 |
| iter:    85/864 | topk:  30 | alpha: 0.500 | beta: 0.250 | MAP: 0.0415 |
| iter:    86/864 | topk:  30 | alpha: 0.500 | beta: 0.300 | MAP: 0.0397 |
| iter:    87/864 | topk:  30 | alpha: 0.500 | beta: 0.350 | MAP: 0.0370 |
| iter:    88/864 | topk:  30 | alpha: 0.600 | beta: 0.000 | MAP: 0.0461 |
| iter:    89/864 | topk:  30 | alpha: 0.600 | beta: 0.050 | MAP: 0.0455 |
| iter:    90/864 | topk:  30 | alpha: 0.600 | beta: 0.100 | MAP: 0.0443 |
| iter:    91/864 | topk:  30 | alpha: 0.600 | beta: 0.150 | MAP: 0.0423 |
| iter:    92/864 | topk:  30 | alpha: 0.600 | beta: 0.200 | MAP: 0.0409 |
| iter:    93/864 | topk:  30 | alpha: 0.600 | beta: 0.250 | MAP: 0.0386 |
| iter:    94/864 | topk:  30 | alpha: 0.600 | beta: 0.300 | MAP: 0.0366 |
| iter:    95/864 | topk:  30 | alpha: 0.600 | beta: 0.350 | MAP: 0.0338 |
| iter:    96/864 | topk:  40 | alpha: 0.100 | beta: 0.000 | MAP: 0.0507 |
| iter:    97/864 | topk:  40 | alpha: 0.100 | beta: 0.050 | MAP: 0.0502 |
| iter:    98/864 | topk:  40 | alpha: 0.100 | beta: 0.100 | MAP: 0.0498 |
| iter:    99/864 | topk:  40 | alpha: 0.100 | beta: 0.150 | MAP: 0.0492 |
| iter:   100/864 | topk:  40 | alpha: 0.100 | beta: 0.200 | MAP: 0.0484 |
| iter:   101/864 | topk:  40 | alpha: 0.100 | beta: 0.250 | MAP: 0.0471 |
| iter:   102/864 | topk:  40 | alpha: 0.100 | beta: 0.300 | MAP: 0.0443 |
| iter:   103/864 | topk:  40 | alpha: 0.100 | beta: 0.350 | MAP: 0.0424 |
| iter:   104/864 | topk:  40 | alpha: 0.200 | beta: 0.000 | MAP: 0.0508 |
| iter:   105/864 | topk:  40 | alpha: 0.200 | beta: 0.050 | MAP: 0.0508 |
