|UserKNNCF| iter:     0/60 | topk:  55 | shrink:  35 | sim type: 'splus' | MAP: 0.0508 |
|UserKNNCF| iter:     1/60 | topk:  55 | shrink:  40 | sim type: 'splus' | MAP: 0.0509 |
|UserKNNCF| iter:     2/60 | topk:  56 | shrink:  35 | sim type: 'splus' | MAP: 0.0506 |
|UserKNNCF| iter:     3/60 | topk:  56 | shrink:  40 | sim type: 'splus' | MAP: 0.0508 |
|UserKNNCF| iter:     4/60 | topk:  57 | shrink:  35 | sim type: 'splus' | MAP: 0.0508 |
|UserKNNCF| iter:     5/60 | topk:  57 | shrink:  40 | sim type: 'splus' | MAP: 0.0512 |
|UserKNNCF| iter:     6/60 | topk:  58 | shrink:  35 | sim type: 'splus' | MAP: 0.0511 |
|UserKNNCF| iter:     7/60 | topk:  58 | shrink:  40 | sim type: 'splus' | MAP: 0.0512 |
|UserKNNCF| iter:     8/60 | topk:  59 | shrink:  35 | sim type: 'splus' | MAP: 0.0513 |
|UserKNNCF| iter:     9/60 | topk:  59 | shrink:  40 | sim type: 'splus' | MAP: 0.0512 |
|UserKNNCF| iter:    10/60 | topk:  60 | shrink:  35 | sim type: 'splus' | MAP: 0.0514 |
|UserKNNCF| iter:    11/60 | topk:  60 | shrink:  40 | sim type: 'splus' | MAP: 0.0515 |
|UserKNNCF| iter:    12/60 | topk:  61 | shrink:  35 | sim type: 'splus' | MAP: 0.0512 |
|UserKNNCF| iter:    13/60 | topk:  61 | shrink:  40 | sim type: 'splus' | MAP: 0.0514 |
|UserKNNCF| iter:    14/60 | topk:  62 | shrink:  35 | sim type: 'splus' | MAP: 0.0512 |
|UserKNNCF| iter:    15/60 | topk:  62 | shrink:  40 | sim type: 'splus' | MAP: 0.0516 |
|UserKNNCF| iter:    16/60 | topk:  63 | shrink:  35 | sim type: 'splus' | MAP: 0.0516 |
|UserKNNCF| iter:    17/60 | topk:  63 | shrink:  40 | sim type: 'splus' | MAP: 0.0517 |
|UserKNNCF| iter:    18/60 | topk:  64 | shrink:  35 | sim type: 'splus' | MAP: 0.0515 |
|UserKNNCF| iter:    19/60 | topk:  64 | shrink:  40 | sim type: 'splus' | MAP: 0.0515 |
|UserKNNCF| iter:    20/60 | topk:  55 | shrink:  35 | sim type: 'cosine' | MAP: 0.0508 |
|UserKNNCF| iter:    21/60 | topk:  55 | shrink:  40 | sim type: 'cosine' | MAP: 0.0509 |
|UserKNNCF| iter:    22/60 | topk:  56 | shrink:  35 | sim type: 'cosine' | MAP: 0.0506 |
|UserKNNCF| iter:    23/60 | topk:  56 | shrink:  40 | sim type: 'cosine' | MAP: 0.0508 |
|UserKNNCF| iter:    24/60 | topk:  57 | shrink:  35 | sim type: 'cosine' | MAP: 0.0508 |
|UserKNNCF| iter:    25/60 | topk:  57 | shrink:  40 | sim type: 'cosine' | MAP: 0.0512 |
|UserKNNCF| iter:    26/60 | topk:  58 | shrink:  35 | sim type: 'cosine' | MAP: 0.0511 |
|UserKNNCF| iter:    27/60 | topk:  58 | shrink:  40 | sim type: 'cosine' | MAP: 0.0512 |
|UserKNNCF| iter:    28/60 | topk:  59 | shrink:  35 | sim type: 'cosine' | MAP: 0.0513 |
|UserKNNCF| iter:    29/60 | topk:  59 | shrink:  40 | sim type: 'cosine' | MAP: 0.0512 |
|UserKNNCF| iter:    30/60 | topk:  60 | shrink:  35 | sim type: 'cosine' | MAP: 0.0514 |
|UserKNNCF| iter:    31/60 | topk:  60 | shrink:  40 | sim type: 'cosine' | MAP: 0.0515 |
|UserKNNCF| iter:    32/60 | topk:  61 | shrink:  35 | sim type: 'cosine' | MAP: 0.0512 |
|UserKNNCF| iter:    33/60 | topk:  61 | shrink:  40 | sim type: 'cosine' | MAP: 0.0514 |
|UserKNNCF| iter:    34/60 | topk:  62 | shrink:  35 | sim type: 'cosine' | MAP: 0.0512 |
|UserKNNCF| iter:    35/60 | topk:  62 | shrink:  40 | sim type: 'cosine' | MAP: 0.0516 |
|UserKNNCF| iter:    36/60 | topk:  63 | shrink:  35 | sim type: 'cosine' | MAP: 0.0516 |
|UserKNNCF| iter:    37/60 | topk:  63 | shrink:  40 | sim type: 'cosine' | MAP: 0.0517 |
|UserKNNCF| iter:    38/60 | topk:  64 | shrink:  35 | sim type: 'cosine' | MAP: 0.0515 |
|UserKNNCF| iter:    39/60 | topk:  64 | shrink:  40 | sim type: 'cosine' | MAP: 0.0515 |
|UserKNNCF| iter:    40/60 | topk:  55 | shrink:  35 | sim type: 'jaccard' | MAP: 0.0508 |
|UserKNNCF| iter:    41/60 | topk:  55 | shrink:  40 | sim type: 'jaccard' | MAP: 0.0509 |
|UserKNNCF| iter:    42/60 | topk:  56 | shrink:  35 | sim type: 'jaccard' | MAP: 0.0506 |
|UserKNNCF| iter:    43/60 | topk:  56 | shrink:  40 | sim type: 'jaccard' | MAP: 0.0508 |
|UserKNNCF| iter:    44/60 | topk:  57 | shrink:  35 | sim type: 'jaccard' | MAP: 0.0508 |
|UserKNNCF| iter:    45/60 | topk:  57 | shrink:  40 | sim type: 'jaccard' | MAP: 0.0512 |
|UserKNNCF| iter:    46/60 | topk:  58 | shrink:  35 | sim type: 'jaccard' | MAP: 0.0511 |
|UserKNNCF| iter:    47/60 | topk:  58 | shrink:  40 | sim type: 'jaccard' | MAP: 0.0512 |
|UserKNNCF| iter:    48/60 | topk:  59 | shrink:  35 | sim type: 'jaccard' | MAP: 0.0513 |
|UserKNNCF| iter:    49/60 | topk:  59 | shrink:  40 | sim type: 'jaccard' | MAP: 0.0512 |
|UserKNNCF| iter:    50/60 | topk:  60 | shrink:  35 | sim type: 'jaccard' | MAP: 0.0514 |
|UserKNNCF| iter:    51/60 | topk:  60 | shrink:  40 | sim type: 'jaccard' | MAP: 0.0515 |
|UserKNNCF| iter:    52/60 | topk:  61 | shrink:  35 | sim type: 'jaccard' | MAP: 0.0512 |
|UserKNNCF| iter:    53/60 | topk:  61 | shrink:  40 | sim type: 'jaccard' | MAP: 0.0514 |
|UserKNNCF| iter:    54/60 | topk:  62 | shrink:  35 | sim type: 'jaccard' | MAP: 0.0512 |
|UserKNNCF| iter:    55/60 | topk:  62 | shrink:  40 | sim type: 'jaccard' | MAP: 0.0516 |
|UserKNNCF| iter:    56/60 | topk:  63 | shrink:  35 | sim type: 'jaccard' | MAP: 0.0516 |
|UserKNNCF| iter:    57/60 | topk:  63 | shrink:  40 | sim type: 'jaccard' | MAP: 0.0517 |
|UserKNNCF| iter:    58/60 | topk:  64 | shrink:  35 | sim type: 'jaccard' | MAP: 0.0515 |
|UserKNNCF| iter:    59/60 | topk:  64 | shrink:  40 | sim type: 'jaccard' | MAP: 0.0515 |
|UserKNNCF| best results | topk:  63 | shrink:  40 | sim type: 'splus' | MAP: 0.0517 |
