| iter:     0/190 | topk:  20 | alpha: 0.000 | norm: l2 | MAP: 0.0327 |
| iter:     1/190 | topk:  20 | alpha: 0.000 | norm: l1 | MAP: 0.0335 |
| iter:     2/190 | topk:  20 | alpha: 0.000 | norm: max | MAP: 0.0285 |
| iter:     3/190 | topk:  20 | alpha: 0.100 | norm: l2 | MAP: 0.0360 |
| iter:     4/190 | topk:  20 | alpha: 0.100 | norm: l1 | MAP: 0.0382 |
| iter:     5/190 | topk:  20 | alpha: 0.100 | norm: max | MAP: 0.0318 |
| iter:     6/190 | topk:  20 | alpha: 0.200 | norm: l2 | MAP: 0.0404 |
| iter:     7/190 | topk:  20 | alpha: 0.200 | norm: l1 | MAP: 0.0435 |
| iter:     8/190 | topk:  20 | alpha: 0.200 | norm: max | MAP: 0.0343 |
| iter:     9/190 | topk:  20 | alpha: 0.300 | norm: l2 | MAP: 0.0452 |
| iter:    10/190 | topk:  20 | alpha: 0.300 | norm: l1 | MAP: 0.0480 |
| iter:    11/190 | topk:  20 | alpha: 0.300 | norm: max | MAP: 0.0355 |
| iter:    12/190 | topk:  20 | alpha: 0.400 | norm: l2 | MAP: 0.0500 |
| iter:    13/190 | topk:  20 | alpha: 0.400 | norm: l1 | MAP: 0.0506 |
| iter:    14/190 | topk:  20 | alpha: 0.400 | norm: max | MAP: 0.0334 |
| iter:    15/190 | topk:  20 | alpha: 0.500 | norm: l2 | MAP: 0.0516 |
| iter:    16/190 | topk:  20 | alpha: 0.500 | norm: l1 | MAP: 0.0521 |
| iter:    17/190 | topk:  20 | alpha: 0.500 | norm: max | MAP: 0.0344 |
| iter:    18/190 | topk:  20 | alpha: 0.600 | norm: l2 | MAP: 0.0506 |
| iter:    19/190 | topk:  20 | alpha: 0.600 | norm: l1 | MAP: 0.0507 |
| iter:    20/190 | topk:  20 | alpha: 0.600 | norm: max | MAP: 0.0308 |
| iter:    21/190 | topk:  20 | alpha: 0.700 | norm: l2 | MAP: 0.0467 |
| iter:    22/190 | topk:  20 | alpha: 0.700 | norm: l1 | MAP: 0.0467 |
| iter:    23/190 | topk:  20 | alpha: 0.700 | norm: max | MAP: 0.0299 |
| iter:    24/190 | topk:  20 | alpha: 0.800 | norm: l2 | MAP: 0.0422 |
| iter:    25/190 | topk:  20 | alpha: 0.800 | norm: l1 | MAP: 0.0421 |
| iter:    26/190 | topk:  20 | alpha: 0.800 | norm: max | MAP: 0.0280 |
| iter:    27/190 | topk:  20 | alpha: 0.900 | norm: l2 | MAP: 0.0381 |
| iter:    28/190 | topk:  20 | alpha: 0.900 | norm: l1 | MAP: 0.0395 |
| iter:    29/190 | topk:  20 | alpha: 0.900 | norm: max | MAP: 0.0264 |
| iter:    30/190 | topk:  40 | alpha: 0.000 | norm: l2 | MAP: 0.0334 |
| iter:    31/190 | topk:  40 | alpha: 0.000 | norm: l1 | MAP: 0.0330 |
| iter:    32/190 | topk:  40 | alpha: 0.000 | norm: max | MAP: 0.0299 |
| iter:    33/190 | topk:  40 | alpha: 0.100 | norm: l2 | MAP: 0.0366 |
| iter:    34/190 | topk:  40 | alpha: 0.100 | norm: l1 | MAP: 0.0376 |
| iter:    35/190 | topk:  40 | alpha: 0.100 | norm: max | MAP: 0.0333 |
| iter:    36/190 | topk:  40 | alpha: 0.200 | norm: l2 | MAP: 0.0406 |
| iter:    37/190 | topk:  40 | alpha: 0.200 | norm: l1 | MAP: 0.0426 |
| iter:    38/190 | topk:  40 | alpha: 0.200 | norm: max | MAP: 0.0361 |
| iter:    39/190 | topk:  40 | alpha: 0.300 | norm: l2 | MAP: 0.0447 |
| iter:    40/190 | topk:  40 | alpha: 0.300 | norm: l1 | MAP: 0.0475 |
| iter:    41/190 | topk:  40 | alpha: 0.300 | norm: max | MAP: 0.0385 |
| iter:    42/190 | topk:  40 | alpha: 0.400 | norm: l2 | MAP: 0.0499 |
| iter:    43/190 | topk:  40 | alpha: 0.400 | norm: l1 | MAP: 0.0509 |
| iter:    44/190 | topk:  40 | alpha: 0.400 | norm: max | MAP: 0.0388 |
| iter:    45/190 | topk:  40 | alpha: 0.500 | norm: l2 | MAP: 0.0529 |
| iter:    46/190 | topk:  40 | alpha: 0.500 | norm: l1 | MAP: 0.0542 |
| iter:    47/190 | topk:  40 | alpha: 0.500 | norm: max | MAP: 0.0392 |
| iter:    48/190 | topk:  40 | alpha: 0.600 | norm: l2 | MAP: 0.0537 |
| iter:    49/190 | topk:  40 | alpha: 0.600 | norm: l1 | MAP: 0.0552 |
| iter:    50/190 | topk:  40 | alpha: 0.600 | norm: max | MAP: 0.0372 |
| iter:    51/190 | topk:  40 | alpha: 0.700 | norm: l2 | MAP: 0.0500 |
| iter:    52/190 | topk:  40 | alpha: 0.700 | norm: l1 | MAP: 0.0520 |
| iter:    53/190 | topk:  40 | alpha: 0.700 | norm: max | MAP: 0.0354 |
| iter:    54/190 | topk:  40 | alpha: 0.800 | norm: l2 | MAP: 0.0464 |
| iter:    55/190 | topk:  40 | alpha: 0.800 | norm: l1 | MAP: 0.0489 |
| iter:    56/190 | topk:  40 | alpha: 0.800 | norm: max | MAP: 0.0323 |
| iter:    57/190 | topk:  40 | alpha: 0.900 | norm: l2 | MAP: 0.0437 |
| iter:    58/190 | topk:  40 | alpha: 0.900 | norm: l1 | MAP: 0.0468 |
| iter:    59/190 | topk:  40 | alpha: 0.900 | norm: max | MAP: 0.0311 |
| iter:    60/190 | topk:  60 | alpha: 0.000 | norm: l2 | MAP: 0.0326 |
| iter:    61/190 | topk:  60 | alpha: 0.000 | norm: l1 | MAP: 0.0333 |
| iter:    62/190 | topk:  60 | alpha: 0.000 | norm: max | MAP: 0.0302 |
| iter:    63/190 | topk:  60 | alpha: 0.100 | norm: l2 | MAP: 0.0358 |
| iter:    64/190 | topk:  60 | alpha: 0.100 | norm: l1 | MAP: 0.0374 |
| iter:    65/190 | topk:  60 | alpha: 0.100 | norm: max | MAP: 0.0334 |
| iter:    66/190 | topk:  60 | alpha: 0.200 | norm: l2 | MAP: 0.0401 |
| iter:    67/190 | topk:  60 | alpha: 0.200 | norm: l1 | MAP: 0.0418 |
| iter:    68/190 | topk:  60 | alpha: 0.200 | norm: max | MAP: 0.0366 |
| iter:    69/190 | topk:  60 | alpha: 0.300 | norm: l2 | MAP: 0.0439 |
| iter:    70/190 | topk:  60 | alpha: 0.300 | norm: l1 | MAP: 0.0473 |
| iter:    71/190 | topk:  60 | alpha: 0.300 | norm: max | MAP: 0.0393 |
| iter:    72/190 | topk:  60 | alpha: 0.400 | norm: l2 | MAP: 0.0501 |
| iter:    73/190 | topk:  60 | alpha: 0.400 | norm: l1 | MAP: 0.0523 |
| iter:    74/190 | topk:  60 | alpha: 0.400 | norm: max | MAP: 0.0414 |
| iter:    75/190 | topk:  60 | alpha: 0.500 | norm: l2 | MAP: 0.0553 |
| iter:    76/190 | topk:  60 | alpha: 0.500 | norm: l1 | MAP: 0.0556 |
| iter:    77/190 | topk:  60 | alpha: 0.500 | norm: max | MAP: 0.0424 |
| iter:    78/190 | topk:  60 | alpha: 0.600 | norm: l2 | MAP: 0.0570 |
| iter:    79/190 | topk:  60 | alpha: 0.600 | norm: l1 | MAP: 0.0566 |
| iter:    80/190 | topk:  60 | alpha: 0.600 | norm: max | MAP: 0.0415 |
| iter:    81/190 | topk:  60 | alpha: 0.700 | norm: l2 | MAP: 0.0537 |
