| iter:     0/190 | topk:  20 | alpha: 0.000 | norm: l2 | MAP: 0.0438 |
| iter:     1/190 | topk:  20 | alpha: 0.000 | norm: l1 | MAP: 0.0428 |
| iter:     2/190 | topk:  20 | alpha: 0.000 | norm: max | MAP: 0.0422 |
| iter:     3/190 | topk:  20 | alpha: 0.100 | norm: l2 | MAP: 0.0451 |
| iter:     4/190 | topk:  20 | alpha: 0.100 | norm: l1 | MAP: 0.0435 |
| iter:     5/190 | topk:  20 | alpha: 0.100 | norm: max | MAP: 0.0442 |
| iter:     6/190 | topk:  20 | alpha: 0.200 | norm: l2 | MAP: 0.0460 |
| iter:     7/190 | topk:  20 | alpha: 0.200 | norm: l1 | MAP: 0.0435 |
| iter:     8/190 | topk:  20 | alpha: 0.200 | norm: max | MAP: 0.0450 |
| iter:     9/190 | topk:  20 | alpha: 0.300 | norm: l2 | MAP: 0.0453 |
| iter:    10/190 | topk:  20 | alpha: 0.300 | norm: l1 | MAP: 0.0431 |
| iter:    11/190 | topk:  20 | alpha: 0.300 | norm: max | MAP: 0.0446 |
| iter:    12/190 | topk:  20 | alpha: 0.400 | norm: l2 | MAP: 0.0447 |
| iter:    13/190 | topk:  20 | alpha: 0.400 | norm: l1 | MAP: 0.0424 |
| iter:    14/190 | topk:  20 | alpha: 0.400 | norm: max | MAP: 0.0437 |
| iter:    15/190 | topk:  20 | alpha: 0.500 | norm: l2 | MAP: 0.0442 |
| iter:    16/190 | topk:  20 | alpha: 0.500 | norm: l1 | MAP: 0.0428 |
| iter:    17/190 | topk:  20 | alpha: 0.500 | norm: max | MAP: 0.0438 |
| iter:    18/190 | topk:  20 | alpha: 0.600 | norm: l2 | MAP: 0.0437 |
| iter:    19/190 | topk:  20 | alpha: 0.600 | norm: l1 | MAP: 0.0423 |
| iter:    20/190 | topk:  20 | alpha: 0.600 | norm: max | MAP: 0.0422 |
| iter:    21/190 | topk:  20 | alpha: 0.700 | norm: l2 | MAP: 0.0436 |
| iter:    22/190 | topk:  20 | alpha: 0.700 | norm: l1 | MAP: 0.0411 |
| iter:    23/190 | topk:  20 | alpha: 0.700 | norm: max | MAP: 0.0412 |
| iter:    24/190 | topk:  20 | alpha: 0.800 | norm: l2 | MAP: 0.0428 |
| iter:    25/190 | topk:  20 | alpha: 0.800 | norm: l1 | MAP: 0.0408 |
| iter:    26/190 | topk:  20 | alpha: 0.800 | norm: max | MAP: 0.0396 |
| iter:    27/190 | topk:  20 | alpha: 0.900 | norm: l2 | MAP: 0.0426 |
| iter:    28/190 | topk:  20 | alpha: 0.900 | norm: l1 | MAP: 0.0402 |
| iter:    29/190 | topk:  20 | alpha: 0.900 | norm: max | MAP: 0.0386 |
| iter:    30/190 | topk:  40 | alpha: 0.000 | norm: l2 | MAP: 0.0483 |
| iter:    31/190 | topk:  40 | alpha: 0.000 | norm: l1 | MAP: 0.0484 |
| iter:    32/190 | topk:  40 | alpha: 0.000 | norm: max | MAP: 0.0479 |
| iter:    33/190 | topk:  40 | alpha: 0.100 | norm: l2 | MAP: 0.0495 |
| iter:    34/190 | topk:  40 | alpha: 0.100 | norm: l1 | MAP: 0.0494 |
| iter:    35/190 | topk:  40 | alpha: 0.100 | norm: max | MAP: 0.0495 |
| iter:    36/190 | topk:  40 | alpha: 0.200 | norm: l2 | MAP: 0.0505 |
| iter:    37/190 | topk:  40 | alpha: 0.200 | norm: l1 | MAP: 0.0503 |
| iter:    38/190 | topk:  40 | alpha: 0.200 | norm: max | MAP: 0.0504 |
