| iter:     0/960 | topk: 180 | alpha: 0.500 | norm: l2 | MAP: 0.0588 |
| iter:     1/960 | topk: 180 | alpha: 0.500 | norm: l1 | MAP: 0.0585 |
| iter:     2/960 | topk: 180 | alpha: 0.500 | norm: max | MAP: 0.0587 |
| iter:     3/960 | topk: 180 | alpha: 0.520 | norm: l2 | MAP: 0.0593 |
| iter:     4/960 | topk: 180 | alpha: 0.520 | norm: l1 | MAP: 0.0584 |
| iter:     5/960 | topk: 180 | alpha: 0.520 | norm: max | MAP: 0.0587 |
| iter:     6/960 | topk: 180 | alpha: 0.540 | norm: l2 | MAP: 0.0595 |
| iter:     7/960 | topk: 180 | alpha: 0.540 | norm: l1 | MAP: 0.0584 |
| iter:     8/960 | topk: 180 | alpha: 0.540 | norm: max | MAP: 0.0589 |
| iter:     9/960 | topk: 180 | alpha: 0.560 | norm: l2 | MAP: 0.0599 |
| iter:    10/960 | topk: 180 | alpha: 0.560 | norm: l1 | MAP: 0.0583 |
| iter:    11/960 | topk: 180 | alpha: 0.560 | norm: max | MAP: 0.0591 |
| iter:    12/960 | topk: 180 | alpha: 0.580 | norm: l2 | MAP: 0.0601 |
| iter:    13/960 | topk: 180 | alpha: 0.580 | norm: l1 | MAP: 0.0585 |
| iter:    14/960 | topk: 180 | alpha: 0.580 | norm: max | MAP: 0.0591 |
| iter:    15/960 | topk: 180 | alpha: 0.600 | norm: l2 | MAP: 0.0601 |
| iter:    16/960 | topk: 180 | alpha: 0.600 | norm: l1 | MAP: 0.0588 |
| iter:    17/960 | topk: 180 | alpha: 0.600 | norm: max | MAP: 0.0594 |
| iter:    18/960 | topk: 180 | alpha: 0.620 | norm: l2 | MAP: 0.0601 |
| iter:    19/960 | topk: 180 | alpha: 0.620 | norm: l1 | MAP: 0.0590 |
| iter:    20/960 | topk: 180 | alpha: 0.620 | norm: max | MAP: 0.0599 |
| iter:    21/960 | topk: 180 | alpha: 0.640 | norm: l2 | MAP: 0.0600 |
| iter:    22/960 | topk: 180 | alpha: 0.640 | norm: l1 | MAP: 0.0589 |
| iter:    23/960 | topk: 180 | alpha: 0.640 | norm: max | MAP: 0.0600 |
| iter:    24/960 | topk: 180 | alpha: 0.660 | norm: l2 | MAP: 0.0598 |
| iter:    25/960 | topk: 180 | alpha: 0.660 | norm: l1 | MAP: 0.0590 |
| iter:    26/960 | topk: 180 | alpha: 0.660 | norm: max | MAP: 0.0598 |
| iter:    27/960 | topk: 180 | alpha: 0.680 | norm: l2 | MAP: 0.0599 |
| iter:    28/960 | topk: 180 | alpha: 0.680 | norm: l1 | MAP: 0.0589 |
| iter:    29/960 | topk: 180 | alpha: 0.680 | norm: max | MAP: 0.0596 |
| iter:    30/960 | topk: 190 | alpha: 0.500 | norm: l2 | MAP: 0.0588 |
| iter:    31/960 | topk: 190 | alpha: 0.500 | norm: l1 | MAP: 0.0584 |
| iter:    32/960 | topk: 190 | alpha: 0.500 | norm: max | MAP: 0.0588 |
| iter:    33/960 | topk: 190 | alpha: 0.520 | norm: l2 | MAP: 0.0595 |
| iter:    34/960 | topk: 190 | alpha: 0.520 | norm: l1 | MAP: 0.0585 |
| iter:    35/960 | topk: 190 | alpha: 0.520 | norm: max | MAP: 0.0587 |
| iter:    36/960 | topk: 190 | alpha: 0.540 | norm: l2 | MAP: 0.0597 |
| iter:    37/960 | topk: 190 | alpha: 0.540 | norm: l1 | MAP: 0.0584 |
| iter:    38/960 | topk: 190 | alpha: 0.540 | norm: max | MAP: 0.0591 |
| iter:    39/960 | topk: 190 | alpha: 0.560 | norm: l2 | MAP: 0.0599 |
| iter:    40/960 | topk: 190 | alpha: 0.560 | norm: l1 | MAP: 0.0584 |
| iter:    41/960 | topk: 190 | alpha: 0.560 | norm: max | MAP: 0.0593 |
| iter:    42/960 | topk: 190 | alpha: 0.580 | norm: l2 | MAP: 0.0602 |
| iter:    43/960 | topk: 190 | alpha: 0.580 | norm: l1 | MAP: 0.0585 |
| iter:    44/960 | topk: 190 | alpha: 0.580 | norm: max | MAP: 0.0594 |
| iter:    45/960 | topk: 190 | alpha: 0.600 | norm: l2 | MAP: 0.0602 |
| iter:    46/960 | topk: 190 | alpha: 0.600 | norm: l1 | MAP: 0.0587 |
| iter:    47/960 | topk: 190 | alpha: 0.600 | norm: max | MAP: 0.0596 |
| iter:    48/960 | topk: 190 | alpha: 0.620 | norm: l2 | MAP: 0.0602 |
| iter:    49/960 | topk: 190 | alpha: 0.620 | norm: l1 | MAP: 0.0590 |
| iter:    50/960 | topk: 190 | alpha: 0.620 | norm: max | MAP: 0.0601 |
| iter:    51/960 | topk: 190 | alpha: 0.640 | norm: l2 | MAP: 0.0602 |
