|a: 0.0000 |b: 0.0000 |c: 0.0000|d: 0.0000|e: 0.0000|MAP: 0.0472|
|a: 0.0000 |b: 0.0000 |c: 0.0000|d: 0.0000|e: 0.1000|MAP: 0.0483|
|a: 0.0000 |b: 0.0000 |c: 0.0000|d: 0.0000|e: 0.2000|MAP: 0.0501|
|a: 0.0000 |b: 0.0000 |c: 0.0000|d: 0.0000|e: 0.3000|MAP: 0.0509|
|a: 0.0000 |b: 0.0000 |c: 0.0000|d: 0.0000|e: 0.4000|MAP: 0.0512|
|a: 0.0000 |b: 0.0000 |c: 0.0000|d: 0.0000|e: 0.5000|MAP: 0.0518|
|a: 0.0000 |b: 0.0000 |c: 0.0000|d: 0.0000|e: 0.6000|MAP: 0.0524|
|a: 0.0000 |b: 0.0000 |c: 0.0000|d: 0.0000|e: 0.7000|MAP: 0.0515|
|a: 0.0000 |b: 0.0000 |c: 0.0000|d: 0.0000|e: 0.8000|MAP: 0.0499|
|a: 0.0000 |b: 0.0000 |c: 0.0000|d: 0.0000|e: 0.9000|MAP: 0.0488|
|a: 0.0000 |b: 0.0000 |c: 0.0000|d: 0.0000|e: 1.0000|MAP: 0.0475|
|a: 0.0000 |b: 0.0000 |c: 0.0000|d: 0.1000|e: 0.0000|MAP: 0.0515|
|a: 0.0000 |b: 0.0000 |c: 0.0000|d: 0.1000|e: 0.1000|MAP: 0.0525|
|a: 0.0000 |b: 0.0000 |c: 0.0000|d: 0.1000|e: 0.2000|MAP: 0.0540|
|a: 0.0000 |b: 0.0000 |c: 0.0000|d: 0.1000|e: 0.3000|MAP: 0.0547|
|a: 0.0000 |b: 0.0000 |c: 0.0000|d: 0.1000|e: 0.4000|MAP: 0.0549|
|a: 0.0000 |b: 0.0000 |c: 0.0000|d: 0.1000|e: 0.5000|MAP: 0.0556|
|a: 0.0000 |b: 0.0000 |c: 0.0000|d: 0.1000|e: 0.6000|MAP: 0.0549|
|a: 0.0000 |b: 0.0000 |c: 0.0000|d: 0.1000|e: 0.7000|MAP: 0.0538|
|a: 0.0000 |b: 0.0000 |c: 0.0000|d: 0.1000|e: 0.8000|MAP: 0.0520|
|a: 0.0000 |b: 0.0000 |c: 0.0000|d: 0.1000|e: 0.9000|MAP: 0.0509|
|a: 0.0000 |b: 0.0000 |c: 0.0000|d: 0.2000|e: 0.0000|MAP: 0.0535|
|a: 0.0000 |b: 0.0000 |c: 0.0000|d: 0.2000|e: 0.1000|MAP: 0.0550|
|a: 0.0000 |b: 0.0000 |c: 0.0000|d: 0.2000|e: 0.2000|MAP: 0.0556|
|a: 0.0000 |b: 0.0000 |c: 0.0000|d: 0.2000|e: 0.3000|MAP: 0.0562|
|a: 0.0000 |b: 0.0000 |c: 0.0000|d: 0.2000|e: 0.4000|MAP: 0.0565|
|a: 0.0000 |b: 0.0000 |c: 0.0000|d: 0.2000|e: 0.5000|MAP: 0.0572|
|a: 0.0000 |b: 0.0000 |c: 0.0000|d: 0.2000|e: 0.6000|MAP: 0.0557|
|a: 0.0000 |b: 0.0000 |c: 0.0000|d: 0.2000|e: 0.7000|MAP: 0.0543|
|a: 0.0000 |b: 0.0000 |c: 0.0000|d: 0.2000|e: 0.8000|MAP: 0.0526|
|a: 0.0000 |b: 0.0000 |c: 0.0000|d: 0.3000|e: 0.0000|MAP: 0.0551|
|a: 0.0000 |b: 0.0000 |c: 0.0000|d: 0.3000|e: 0.1000|MAP: 0.0562|
|a: 0.0000 |b: 0.0000 |c: 0.0000|d: 0.3000|e: 0.2000|MAP: 0.0571|
|a: 0.0000 |b: 0.0000 |c: 0.0000|d: 0.3000|e: 0.3000|MAP: 0.0574|
|a: 0.0000 |b: 0.0000 |c: 0.0000|d: 0.3000|e: 0.4000|MAP: 0.0579|
|a: 0.0000 |b: 0.0000 |c: 0.0000|d: 0.3000|e: 0.5000|MAP: 0.0574|
|a: 0.0000 |b: 0.0000 |c: 0.0000|d: 0.3000|e: 0.6000|MAP: 0.0562|
|a: 0.0000 |b: 0.0000 |c: 0.0000|d: 0.3000|e: 0.7000|MAP: 0.0538|
