UserKNNCB
|iter     0/3125|a: 0.0000 |b: 0.0000 |c: 0.0000|d: 0.0000|e: 0.0000|MAP: 0.0472|
|iter     1/3125|a: 0.0000 |b: 0.0000 |c: 0.0000|d: 0.0000|e: 0.0500|MAP: 0.0475|
|iter     2/3125|a: 0.0000 |b: 0.0000 |c: 0.0000|d: 0.0000|e: 0.1000|MAP: 0.0483|
|iter     3/3125|a: 0.0000 |b: 0.0000 |c: 0.0000|d: 0.0000|e: 0.1500|MAP: 0.0493|
|iter     4/3125|a: 0.0000 |b: 0.0000 |c: 0.0000|d: 0.0000|e: 0.2000|MAP: 0.0501|
|iter     5/3125|a: 0.0000 |b: 0.0000 |c: 0.0000|d: 0.0000|e: 0.2500|MAP: 0.0507|
|iter     6/3125|a: 0.0000 |b: 0.0000 |c: 0.0000|d: 0.0000|e: 0.3000|MAP: 0.0509|
|iter     7/3125|a: 0.0000 |b: 0.0000 |c: 0.0000|d: 0.0000|e: 0.3500|MAP: 0.0511|
|iter     8/3125|a: 0.0000 |b: 0.0000 |c: 0.0000|d: 0.0000|e: 0.4000|MAP: 0.0512|
|iter     9/3125|a: 0.0000 |b: 0.0000 |c: 0.0000|d: 0.0000|e: 0.4500|MAP: 0.0519|
|iter    10/3125|a: 0.0000 |b: 0.0000 |c: 0.0000|d: 0.0000|e: 0.5000|MAP: 0.0518|
|iter    11/3125|a: 0.0000 |b: 0.0000 |c: 0.0000|d: 0.0000|e: 0.5500|MAP: 0.0521|
|iter    12/3125|a: 0.0000 |b: 0.0000 |c: 0.0000|d: 0.0000|e: 0.6000|MAP: 0.0524|
|iter    13/3125|a: 0.0000 |b: 0.0000 |c: 0.0000|d: 0.0000|e: 0.6500|MAP: 0.0519|
|iter    14/3125|a: 0.0000 |b: 0.0000 |c: 0.0000|d: 0.0000|e: 0.7000|MAP: 0.0515|
|iter    15/3125|a: 0.0000 |b: 0.0000 |c: 0.0000|d: 0.0000|e: 0.7500|MAP: 0.0508|
|iter    16/3125|a: 0.0000 |b: 0.0000 |c: 0.0000|d: 0.0000|e: 0.8000|MAP: 0.0499|
|iter    17/3125|a: 0.0000 |b: 0.0000 |c: 0.0000|d: 0.0000|e: 0.8500|MAP: 0.0492|
