| iter:     0/2000 | topk: 100 | alpha: 0.000 | norm: non | MAP: 0.0293 |
| iter:     1/2000 | topk: 100 | alpha: 0.020 | norm: non | MAP: 0.0298 |
| iter:     2/2000 | topk: 100 | alpha: 0.040 | norm: non | MAP: 0.0301 |
| iter:     3/2000 | topk: 100 | alpha: 0.060 | norm: non | MAP: 0.0305 |
| iter:     4/2000 | topk: 100 | alpha: 0.080 | norm: non | MAP: 0.0309 |
| iter:     5/2000 | topk: 100 | alpha: 0.100 | norm: non | MAP: 0.0311 |
| iter:     6/2000 | topk: 100 | alpha: 0.120 | norm: non | MAP: 0.0318 |
| iter:     7/2000 | topk: 100 | alpha: 0.140 | norm: non | MAP: 0.0324 |
| iter:     8/2000 | topk: 100 | alpha: 0.160 | norm: non | MAP: 0.0331 |
| iter:     9/2000 | topk: 100 | alpha: 0.180 | norm: non | MAP: 0.0338 |
| iter:    10/2000 | topk: 100 | alpha: 0.200 | norm: non | MAP: 0.0348 |
| iter:    11/2000 | topk: 100 | alpha: 0.220 | norm: non | MAP: 0.0360 |
| iter:    12/2000 | topk: 100 | alpha: 0.240 | norm: non | MAP: 0.0369 |
| iter:    13/2000 | topk: 100 | alpha: 0.260 | norm: non | MAP: 0.0382 |
| iter:    14/2000 | topk: 100 | alpha: 0.280 | norm: non | MAP: 0.0397 |
| iter:    15/2000 | topk: 100 | alpha: 0.300 | norm: non | MAP: 0.0411 |
| iter:    16/2000 | topk: 100 | alpha: 0.320 | norm: non | MAP: 0.0423 |
| iter:    17/2000 | topk: 100 | alpha: 0.340 | norm: non | MAP: 0.0435 |
| iter:    18/2000 | topk: 100 | alpha: 0.360 | norm: non | MAP: 0.0446 |
| iter:    19/2000 | topk: 100 | alpha: 0.380 | norm: non | MAP: 0.0459 |
| iter:    20/2000 | topk: 100 | alpha: 0.400 | norm: non | MAP: 0.0471 |
| iter:    21/2000 | topk: 100 | alpha: 0.420 | norm: non | MAP: 0.0483 |
| iter:    22/2000 | topk: 100 | alpha: 0.440 | norm: non | MAP: 0.0498 |
| iter:    23/2000 | topk: 100 | alpha: 0.460 | norm: non | MAP: 0.0510 |
| iter:    24/2000 | topk: 100 | alpha: 0.480 | norm: non | MAP: 0.0523 |
| iter:    25/2000 | topk: 100 | alpha: 0.500 | norm: non | MAP: 0.0538 |
| iter:    26/2000 | topk: 100 | alpha: 0.520 | norm: non | MAP: 0.0551 |
| iter:    27/2000 | topk: 100 | alpha: 0.540 | norm: non | MAP: 0.0561 |
| iter:    28/2000 | topk: 100 | alpha: 0.560 | norm: non | MAP: 0.0569 |
| iter:    29/2000 | topk: 100 | alpha: 0.580 | norm: non | MAP: 0.0580 |
| iter:    30/2000 | topk: 100 | alpha: 0.600 | norm: non | MAP: 0.0593 |
| iter:    31/2000 | topk: 100 | alpha: 0.620 | norm: non | MAP: 0.0598 |
| iter:    32/2000 | topk: 100 | alpha: 0.640 | norm: non | MAP: 0.0609 |
