| iter:     0/2400 | topk:  20 | alpha: 0.000 | norm: non | MAP: 0.0421 |
| iter:     1/2400 | topk:  20 | alpha: 0.020 | norm: non | MAP: 0.0423 |
| iter:     2/2400 | topk:  20 | alpha: 0.040 | norm: non | MAP: 0.0423 |
| iter:     3/2400 | topk:  20 | alpha: 0.060 | norm: non | MAP: 0.0422 |
| iter:     4/2400 | topk:  20 | alpha: 0.080 | norm: non | MAP: 0.0422 |
| iter:     5/2400 | topk:  20 | alpha: 0.100 | norm: non | MAP: 0.0422 |
| iter:     6/2400 | topk:  20 | alpha: 0.120 | norm: non | MAP: 0.0423 |
| iter:     7/2400 | topk:  20 | alpha: 0.140 | norm: non | MAP: 0.0423 |
| iter:     8/2400 | topk:  20 | alpha: 0.160 | norm: non | MAP: 0.0425 |
| iter:     9/2400 | topk:  20 | alpha: 0.180 | norm: non | MAP: 0.0424 |
| iter:    10/2400 | topk:  20 | alpha: 0.200 | norm: non | MAP: 0.0426 |
| iter:    11/2400 | topk:  20 | alpha: 0.220 | norm: non | MAP: 0.0426 |
| iter:    12/2400 | topk:  20 | alpha: 0.240 | norm: non | MAP: 0.0426 |
| iter:    13/2400 | topk:  20 | alpha: 0.260 | norm: non | MAP: 0.0428 |
| iter:    14/2400 | topk:  20 | alpha: 0.280 | norm: non | MAP: 0.0429 |
| iter:    15/2400 | topk:  20 | alpha: 0.300 | norm: non | MAP: 0.0429 |
| iter:    16/2400 | topk:  20 | alpha: 0.320 | norm: non | MAP: 0.0429 |
| iter:    17/2400 | topk:  20 | alpha: 0.340 | norm: non | MAP: 0.0430 |
| iter:    18/2400 | topk:  20 | alpha: 0.360 | norm: non | MAP: 0.0430 |
| iter:    19/2400 | topk:  20 | alpha: 0.380 | norm: non | MAP: 0.0432 |
| iter:    20/2400 | topk:  20 | alpha: 0.400 | norm: non | MAP: 0.0435 |
| iter:    21/2400 | topk:  20 | alpha: 0.420 | norm: non | MAP: 0.0435 |
| iter:    22/2400 | topk:  20 | alpha: 0.440 | norm: non | MAP: 0.0436 |
| iter:    23/2400 | topk:  20 | alpha: 0.460 | norm: non | MAP: 0.0439 |
| iter:    24/2400 | topk:  20 | alpha: 0.480 | norm: non | MAP: 0.0438 |
| iter:    25/2400 | topk:  20 | alpha: 0.500 | norm: non | MAP: 0.0439 |
| iter:    26/2400 | topk:  20 | alpha: 0.520 | norm: non | MAP: 0.0439 |
| iter:    27/2400 | topk:  20 | alpha: 0.540 | norm: non | MAP: 0.0439 |
| iter:    28/2400 | topk:  20 | alpha: 0.560 | norm: non | MAP: 0.0442 |
| iter:    29/2400 | topk:  20 | alpha: 0.580 | norm: non | MAP: 0.0443 |
| iter:    30/2400 | topk:  20 | alpha: 0.600 | norm: non | MAP: 0.0445 |
| iter:    31/2400 | topk:  20 | alpha: 0.620 | norm: non | MAP: 0.0446 |
| iter:    32/2400 | topk:  20 | alpha: 0.640 | norm: non | MAP: 0.0445 |
| iter:    33/2400 | topk:  20 | alpha: 0.660 | norm: non | MAP: 0.0446 |
| iter:    34/2400 | topk:  20 | alpha: 0.680 | norm: non | MAP: 0.0446 |
| iter:    35/2400 | topk:  20 | alpha: 0.700 | norm: non | MAP: 0.0446 |
| iter:    36/2400 | topk:  20 | alpha: 0.720 | norm: non | MAP: 0.0448 |
| iter:    37/2400 | topk:  20 | alpha: 0.740 | norm: non | MAP: 0.0446 |
| iter:    38/2400 | topk:  20 | alpha: 0.760 | norm: non | MAP: 0.0446 |
| iter:    39/2400 | topk:  20 | alpha: 0.780 | norm: non | MAP: 0.0447 |
| iter:    40/2400 | topk:  20 | alpha: 0.800 | norm: non | MAP: 0.0444 |
| iter:    41/2400 | topk:  20 | alpha: 0.820 | norm: non | MAP: 0.0440 |
| iter:    42/2400 | topk:  20 | alpha: 0.840 | norm: non | MAP: 0.0440 |
| iter:    43/2400 | topk:  20 | alpha: 0.860 | norm: non | MAP: 0.0444 |
| iter:    44/2400 | topk:  20 | alpha: 0.880 | norm: non | MAP: 0.0439 |
| iter:    45/2400 | topk:  20 | alpha: 0.900 | norm: non | MAP: 0.0438 |
| iter:    46/2400 | topk:  20 | alpha: 0.920 | norm: non | MAP: 0.0434 |
| iter:    47/2400 | topk:  20 | alpha: 0.940 | norm: non | MAP: 0.0437 |
| iter:    48/2400 | topk:  20 | alpha: 0.960 | norm: non | MAP: 0.0439 |
| iter:    49/2400 | topk:  20 | alpha: 0.980 | norm: non | MAP: 0.0425 |
| iter:    50/2400 | topk:  30 | alpha: 0.000 | norm: non | MAP: 0.0460 |
| iter:    51/2400 | topk:  30 | alpha: 0.020 | norm: non | MAP: 0.0462 |
| iter:    52/2400 | topk:  30 | alpha: 0.040 | norm: non | MAP: 0.0463 |
| iter:    53/2400 | topk:  30 | alpha: 0.060 | norm: non | MAP: 0.0464 |
| iter:    54/2400 | topk:  30 | alpha: 0.080 | norm: non | MAP: 0.0464 |
| iter:    55/2400 | topk:  30 | alpha: 0.100 | norm: non | MAP: 0.0463 |
| iter:    56/2400 | topk:  30 | alpha: 0.120 | norm: non | MAP: 0.0463 |
| iter:    57/2400 | topk:  30 | alpha: 0.140 | norm: non | MAP: 0.0464 |
| iter:    58/2400 | topk:  30 | alpha: 0.160 | norm: non | MAP: 0.0464 |
| iter:    59/2400 | topk:  30 | alpha: 0.180 | norm: non | MAP: 0.0463 |
| iter:    60/2400 | topk:  30 | alpha: 0.200 | norm: non | MAP: 0.0463 |
